NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,AAAAMMJJ
1010001,ANGLEFORT,45.9,5.766667,280,1970-01-01
1014001,ARBENT,46.266667,5.65,535,1970-01-01
1014002,ARBENT,46.278167,5.669,534,1970-01-01
1025001,BAGE,46.325167,4.953167,200,1970-01-01
1027001,BALAN,45.833333,5.083333,197,1970-01-01
1027002,BALAN,45.832833,5.086,184,1970-01-01
1027003,BALAN_AERO,45.833,5.106667,196,1970-01-01
1028001,BANEINS,46.122,4.9045,243,1970-01-01
1029001,BEAUPONT,46.411667,5.263333,210,1970-01-01
1033001,BELLEGARDE MAN,46.103333,5.846667,500,1970-01-01
1033002,BELLEGARDE,46.0865,5.814167,350,1970-01-01
1034001,BELLEY MAN,45.755,5.686667,277,1970-01-01
1034004,BELLEY,45.769333,5.688,330,1970-01-01
1037001,BENONCES,45.862333,5.484167,944,1970-01-01
1043001,BEYNOST,45.837333,4.990667,220,1970-01-01
1053001,BOURG EN BRESSE,46.206667,5.221667,240,1970-01-01
1053003,BOURG EN BRESSE,46.215,5.258333,250,1970-01-01
1059001,BRENAZ,45.948333,5.721667,695,1970-01-01
1064001,VERIZIEU,45.777167,5.487167,281,1970-01-01
1068001,CERDON,46.082,5.465167,315,1970-01-01
1071001,CESSY,46.310333,6.080333,507,1970-01-01
1072001,CEYZERIAT_SAPC,46.204333,5.287667,260,1970-01-01
1082001,CHANAY,46.003333,5.788333,480,1970-01-01
1089001,AMBERIEU,45.9765,5.329333,250,1970-01-01
1092001,CHATILLON,45.969,5.251,257,1970-01-01
1104001,CHEZERY,46.24,5.896667,700,1970-01-01
1105001,CIVRIEUX,45.911667,4.891167,291,1970-01-01
1115001,CONFRANCON,46.253333,5.06,200,1970-01-01
1118001,CORBONOD,45.968333,5.808333,330,1970-01-01
1128001,COURTES,46.451667,5.103333,220,1970-01-01
1143001,DIVONNE,46.376667,6.156667,488,1970-01-01
1143002,DIVONNE ZA,46.3415,6.139667,467,1970-01-01
1160001,FERNEY-VOLTAIRE,46.255,6.108333,435,1970-01-01
1173001,GEX,46.34,6.063167,612,1970-01-01
1174001,GIRON,46.23,5.7725,1015,1970-01-01
1175001,GORREVOD,46.418333,4.938333,195,1970-01-01
1176001,GD ABERGEMENT,46.035,5.671667,810,1970-01-01
1184001,HAUTECOURT,46.1545,5.404,458,1970-01-01
1185001,HAUTEVILLE,45.966667,5.6,820,1970-01-01
1185006,HAUTEVILLE_EDF_RIC-A2-DOUBLON,45.979667,5.598167,805,1970-01-01
1187001,LES PLANS D'HOTONNES,46.0365,5.699833,1048,1970-01-01
1190001,INNIMOND,45.7825,5.572833,880,1970-01-01
1192001,IZERNORE,46.225,5.541667,430,1970-01-01
1200001,LABALME,46.095,5.483333,596,1970-01-01
1200002,LA BALME SUR CERDON_SAPC,46.09,5.482,596,1970-01-01
1204001,LALLEYRIAT,46.152833,5.717167,850,1970-01-01
1204002,BURL,46.166667,5.706667,530,1970-01-01
1210002,LELEX,46.303333,5.943333,875,1970-01-01
1216001,LHUIS,45.733333,5.533333,225,1970-01-01
1224001,LOYETTES,45.8,5.233333,194,1970-01-01
1224002,LOYETTES,45.8065,5.238333,198,1970-01-01
1235001,MARLIEUX,46.0385,5.044333,280,1970-01-01
1235002,MARLIEUX,46.046667,5.073333,273,1970-01-01
1243001,MESSIMY,46.047167,4.757667,175,1970-01-01
1247003,MIJOUX,46.378833,6.019333,1002,1970-01-01
1247004,MIJOUX,46.378333,6.021667,1015,1970-01-01
1250001,MISERIEUX,45.981667,4.801667,270,1970-01-01
1255001,MONTAGNIEU,45.793333,5.47,220,1970-01-01
1255002,MONTAGNIEU,45.794333,5.469333,336,1970-01-01
1262001,MONTLUEL,45.925,5.025,195,1970-01-01
1262003,MONTLUEL,45.9,5.016667,280,1970-01-01
1262004,MONTLUEL,45.907667,5.017167,275,1970-01-01
1267001,MORNAY,46.195,5.516667,450,1970-01-01
1269001,NANTUA,46.148167,5.607333,483,1970-01-01
1273001,NEUVILLE,46.083167,5.373833,291,1970-01-01
1276001,NIEVROZ,45.816667,5.07,182,1970-01-01
1283001,OYONNAX,46.271667,5.661667,535,1970-01-01
1301001,POLLIAT,46.236667,5.11,201,1970-01-01
1350001,SAINT ETIENNE DU BOIS,46.296,5.279667,243,1970-01-01
1367001,ST-JULIEN/REYSS,46.383333,5.116667,189,1970-01-01
1367002,SAINT JULIEN SUR REYSSOUZE,46.403167,5.109833,189,1970-01-01
1374001,ST MARTIN,46.101667,5.328333,380,1970-01-01
1374002,SAINT MARTIN DU MONT,46.118333,5.318833,265,1970-01-01
1384001,SAINT RAMBERT EN BUGEY,45.931667,5.426667,285,1970-01-01
1384003,ST RAMBERT CG01,45.950333,5.461,296,1970-01-01
1391001,SALAVRE,46.363833,5.346667,240,1970-01-01
1407001,SEYSSEL,45.953333,5.824,285,1970-01-01
1408001,SIMANDRE,46.248333,5.455,400,1970-01-01
1414001,SUTRIEU,45.916167,5.624667,878,1970-01-01
1416001,TENAY,45.923333,5.506667,390,1970-01-01
1419001,THOIRY,46.241667,5.968333,605,1970-01-01
1426001,TREFFORT,46.221667,5.366667,310,1970-01-01
1441001,VIEU,46.088833,5.540833,615,1970-01-01
1447001,VILLEREVERSURE,46.183333,5.378333,299,1970-01-01
1452001,VIRIEU-LE-GRAND,45.833333,5.65,284,1970-01-01
1453001,VIRIEU-LE-PETIT,45.906833,5.718167,603,1970-01-01
1457001,VONNAS,46.218333,4.99,190,1970-01-01
