id,typesPoste,producteurs,nom,dateDebut,dateFin,altitude,latitude,longitude
1004003,4,['METEO-FRANCE'],AMBERIEU-EN-BUGEY (AMBERIEU),1875-01-01 00:00:00,1886-12-31 00:00:00,[249],[45.955],[5.3483333333333345]
1010001,4,['METEO-FRANCE'],ANGLEFORT,1950-01-01 00:00:00,1985-07-31 00:00:00,[280],[45.9],[5.7666666666666675]
1014001,4,['METEO-FRANCE'],ARBENT,1969-11-01 00:00:00,1988-12-31 00:00:00,[535],[46.266666666666666],[5.65]
1025001,4,['METEO-FRANCE'],BAGE-DOMMARTIN (BAGE),1992-01-01 00:00:00,2020-12-31 00:00:00,[200],[46.32516666666667],[4.953166666666666]
1027001,4,['AUTRES'],BALAN,1968-03-01 00:00:00,1991-05-31 00:00:00,[197],[45.833333333333336],[5.083333333333333]
1027002,4,['METEO-FRANCE'],BALAN,2001-11-01 00:00:00,2020-12-31 00:00:00,[184],[45.83283333333333],[5.086]
1028001,4,['METEO-FRANCE'],BANEINS,1978-09-01 00:00:00,2020-12-31 00:00:00,[243],[46.122],[4.9045000000000005]
1029001,4,"['PROTECTION DES VEGETAUX', 'METEO-FRANCE']",BEAUPONT,1975-01-01 00:00:00,1993-12-31 00:00:00,[210],[46.41166666666667],[5.263333333333334]
1033001,4,['METEO-FRANCE'],VALSERHONE (BELLEGARDE MAN),1979-01-01 00:00:00,2006-12-31 00:00:00,[500],[46.10333333333333],[5.846666666666667]
1033002,2,['AUTRES'],VALSERHONE (BELLEGARDE),1994-04-01 00:00:00,2023-12-10 00:00:00,[350],[46.0865],[5.814166666666667]
1034001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",BELLEY (BELLEY MAN),1873-06-01 00:00:00,2008-10-31 00:00:00,"[280, 276, 277, 278]","[45.755, 45.75833333333333]","[5.686666666666666, 5.688333333333333]"
1034002,4,['METEO-FRANCE'],BELLEY,1925-10-01 00:00:00,1943-12-31 00:00:00,[287],[45.75833333333333],[5.688333333333333]
1037001,4,['METEO-FRANCE'],BENONCES,1976-01-01 00:00:00,2020-12-31 00:00:00,[944],[45.86233333333333],[5.484166666666667]
1043001,4,['METEO-FRANCE'],BEYNOST,1996-08-01 00:00:00,2018-03-31 00:00:00,[220],"[45.83733333333333, 45.83833333333333]","[4.990666666666667, 5.004666666666667]"
1053001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",BOURG-EN-BRESSE (BOURG EN BRESSE),1845-01-01 00:00:00,1992-12-31 00:00:00,"[240, 243]","[46.20666666666666, 46.205]","[5.221666666666667, 5.225]"
1053003,4,['METEO-FRANCE'],BOURG-EN-BRESSE (BOURG EN BRESSE),1979-09-01 00:00:00,1995-01-31 00:00:00,[250],[46.215],[5.258333333333334]
1053004,4,['METEO-FRANCE'],BOURG-EN-BRESSE (BOURG-EN-BRESSE SERV.  HYDRO),1887-01-01 00:00:00,1916-12-31 00:00:00,[246],[46.205],[5.226666666666667]
1059001,4,['METEO-FRANCE'],ARVIERE-EN-VALROMEY (BRENAZ),1992-11-01 00:00:00,1998-12-31 00:00:00,[695],[45.94833333333333],[5.721666666666667]
1060001,4,['METEO-FRANCE'],BRENOD,1899-01-01 00:00:00,1913-12-31 00:00:00,[831],[46.06],[5.605]
1068001,4,['METEO-FRANCE'],CERDON,1983-01-01 00:00:00,2020-12-31 00:00:00,[315],[46.082],[5.465166666666667]
1074001,4,['METEO-FRANCE'],CHALAMONT,1875-01-01 00:00:00,1886-12-31 00:00:00,[239],[45.99666666666667],[5.171666666666667]
1082001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",CHANAY,1964-12-01 00:00:00,1996-12-31 00:00:00,[480],"[46.00333333333333, 46.005]","[5.788333333333333, 5.781666666666666]"
1085001,4,['METEO-FRANCE'],LA CHAPELLE-DU-CHATELARD (LA CHAPELLE),1947-01-01 00:00:00,1966-10-31 00:00:00,[266],[46.07],[5.025]
1092001,4,['METEO-FRANCE'],CHATILLON-LA-PALUD (CHATILLON),1954-06-01 00:00:00,2017-05-31 00:00:00,[257],[45.969],[5.251]
1093001,4,['METEO-FRANCE'],CHATILLON-SUR-CHALARONNE (CHATILLON/CHALA),1865-01-01 00:00:00,1886-01-31 00:00:00,[239],[46.12166666666667],[4.955]
1104001,4,['ELECTRICITE DE FRANCE'],CHEZERY-FORENS (CHEZERY),1971-06-01 00:00:00,2000-04-30 00:00:00,[700],[46.24],[5.8966666666666665]
1105001,4,['METEO-FRANCE'],CIVRIEUX,1979-10-01 00:00:00,2020-12-31 00:00:00,"[291, 292, 293]","[45.91166666666667, 45.92333333333333, 45.92]","[4.891166666666667, 4.881666666666667, 4.888333333333334]"
1115001,4,['METEO-FRANCE'],CONFRANCON,1974-06-01 00:00:00,1994-10-31 00:00:00,[200],[46.25333333333333],[5.06]
1118001,4,['METEO-FRANCE'],CORBONOD,1973-01-01 00:00:00,1977-12-31 00:00:00,[330],[45.968333333333334],[5.808333333333334]
1128001,4,['METEO-FRANCE'],COURTES,1982-06-01 00:00:00,2009-04-30 00:00:00,[220],[46.45166666666667],[5.103333333333333]
1143001,4,['METEO-FRANCE'],DIVONNE-LES-BAINS (DIVONNE),1946-04-01 00:00:00,2003-09-30 00:00:00,"[488, 473]","[46.375, 46.376666666666665, 46.373333333333335]","[6.156666666666666, 6.163333333333333, 6.158333333333333]"
1148001,4,['METEO-FRANCE'],DORTAN,1948-10-01 00:00:00,1952-12-31 00:00:00,[308],[46.321666666666665],[5.658333333333333]
1157001,4,['METEO-FRANCE'],FAREINS,1947-04-01 00:00:00,1959-01-31 00:00:00,[220],[46.02],[4.76]
1160001,4,['METEO-FRANCE'],FERNEY-VOLTAIRE,1960-01-01 00:00:00,1974-12-31 00:00:00,[435],[46.255],[6.108333333333333]
1173001,4,['METEO-FRANCE'],GEX,1964-03-01 00:00:00,2013-10-08 00:00:00,[612],[46.34],[6.063166666666667]
1173002,4,['METEO-FRANCE'],GEX,1919-01-01 00:00:00,1937-12-31 00:00:00,[1323],[46.37],[6.018333333333333]
1173011,4,['METEO-FRANCE'],GEX,1873-01-01 00:00:00,1936-08-31 00:00:00,[612],[46.333333333333336],[6.058333333333334]
1174001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",GIRON,1959-01-01 00:00:00,2020-12-31 00:00:00,"[980, 1015]","[46.229, 46.23, 46.22666666666667]","[5.7725, 5.7745, 5.775]"
1175001,4,['METEO-FRANCE'],GORREVOD,1975-01-01 00:00:00,2020-12-31 00:00:00,[195],[46.41833333333334],[4.938333333333333]
1176001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",HAUT VALROMEY (GD ABERGEMENT),1964-01-01 00:00:00,1971-12-31 00:00:00,[810],[46.035],[5.671666666666667]
1184001,4,['METEO-FRANCE'],HAUTECOURT-ROMANECHE (HAUTECOURT),1967-01-01 00:00:00,2020-12-31 00:00:00,[458],"[46.1545, 46.1575]","[5.404, 5.4]"
1185001,4,['METEO-FRANCE'],PLATEAU D'HAUTEVILLE (HAUTEVILLE),1963-05-01 00:00:00,1988-12-31 00:00:00,[820],"[45.96666666666667, 45.97833333333333]","[5.6, 5.605]"
1185002,4,['METEO-FRANCE'],PLATEAU D'HAUTEVILLE (HAUTEVILLE),1874-01-01 00:00:00,1938-12-31 00:00:00,[801],[45.97833333333333],[5.605]
1185005,4,['METEO-FRANCE'],PLATEAU D'HAUTEVILLE (LACOUX),1943-01-01 00:00:00,1962-12-31 00:00:00,[800],[45.97833333333333],[5.596666666666667]
